,links
9735,https://www.swiggy.com/bangalore/naati-mane-koramangala
9736,https://www.swiggy.com/bangalore/the-burger-place-koramangala-koramangala
9737,https://www.swiggy.com/bangalore/pizza-hut-6th-block-koramangala
9738,https://www.swiggy.com/bangalore/nutririch-kormangala-7th-block-koramangala
9739,https://www.swiggy.com/bangalore/juicy-momos-5th-block-koramangala
9740,https://www.swiggy.com/bangalore/frolic-koramangala
9741,https://www.swiggy.com/bangalore/sttytt-koramangala-4th-block-koramangala
9742,https://www.swiggy.com/bangalore/tango-bango-jeevan-bhima-nagar-indiranagar
9743,https://www.swiggy.com/bangalore/dosa-plaza-na-btm
9744,https://www.swiggy.com/bangalore/madurai-idly-shop-6th-block-koramangala
9745,https://www.swiggy.com/bangalore/nic-natural-ice-creams-koramangla-koramangala
9746,https://www.swiggy.com/bangalore/sree-krishna-kafe-1st-block-koramangala
9747,https://www.swiggy.com/bangalore/purani-dilli-by-anand-sweets-koramangala-5th-block-koramangala
9748,https://www.swiggy.com/bangalore/baskin-robbins-80-ft-road-koramangala
9749,https://www.swiggy.com/bangalore/haagen-das-forum-mall-koramangala
9750,https://www.swiggy.com/bangalore/brownie-heaven-koramangala-5th-block-koramangala
9751,https://www.swiggy.com/bangalore/eagles-pizza-koramangala-7th-block-koramangala
9752,https://www.swiggy.com/bangalore/kitchens-of-punjab-koramangala-2
9753,https://www.swiggy.com/bangalore/breaktime-brew-koramangala-7th-block-koramangala
9754,https://www.swiggy.com/bangalore/nasi-and-mee-koramangala-1-koramangala
9755,https://www.swiggy.com/bangalore/tandoor-hut-5th-block-koramangala
9756,https://www.swiggy.com/bangalore/pecos-hideout-btm-btm
9757,https://www.swiggy.com/bangalore/china-bowl-6th-block-koramangala
9758,https://www.swiggy.com/bangalore/gillys-104-bar-koramangala
9759,https://www.swiggy.com/bangalore/anand-sweets-and-savouries-5th-block-koramangala
9760,https://www.swiggy.com/bangalore/anjappar-4th-b-block-koramangala
9761,https://www.swiggy.com/bangalore/royal-calcutta-restaurant-koramangala-1st-block-koramangala
9762,https://www.swiggy.com/bangalore/blue-tokai-coffee-roasters-koramangala
9763,https://www.swiggy.com/bangalore/karachi-bakery-koramangala-koramangala
9764,https://www.swiggy.com/bangalore/supreme-biryani-koramangala-1-koramangala
9765,https://www.swiggy.com/bangalore/bharat-kitchen-koramangala
9766,https://www.swiggy.com/bangalore/buff-buffet-buff-koramangala-5th-block-koramangala
9767,https://www.swiggy.com/bangalore/tunday-kababi-5th-block-koramangala
9768,https://www.swiggy.com/bangalore/swathi-maharaja-koramangala-4th-block-koramangala
9769,https://www.swiggy.com/bangalore/truffles-ice-spice-5th-block-koramangala
9770,https://www.swiggy.com/bangalore/sweet-truth-vardhman-jank-market-janakpuri
9771,https://www.swiggy.com/bangalore/delhi-food-point-1st-block-koramangala
9772,https://www.swiggy.com/bangalore/via-milano-4th-block-koramangala
9773,https://www.swiggy.com/bangalore/meghana-foods-5th-block-koramangala
9774,https://www.swiggy.com/bangalore/akshaya-bar-and-restaurant-koramangala
9775,https://www.swiggy.com/bangalore/rolls-mania-koramangala-koramangala
9776,https://www.swiggy.com/bangalore/terra-bites-koramangala
9777,https://www.swiggy.com/bangalore/oregano-pizzeria-koramangala-koramangala
9778,https://www.swiggy.com/bangalore/patel-palace-koramangala
9779,https://www.swiggy.com/bangalore/mr-beans-home-cafe-koramangala-3rd-block-koramangala
9780,https://www.swiggy.com/bangalore/cafemoto-koramangala-5th-block-koramangala
9781,https://www.swiggy.com/bangalore/the-marash-koramangala
9782,https://www.swiggy.com/bangalore/tim-tai-asia-cafe-5th-block-koramangala
9783,https://www.swiggy.com/bangalore/baba-da-dhaba-koramangala-koramangala
9784,https://www.swiggy.com/bangalore/lunchbox-6th-block-koramangala
9785,https://www.swiggy.com/bangalore/the-sweet-spot-koramangala
9786,https://www.swiggy.com/bangalore/hole-in-the-wall-4th-block-koramangala
9787,https://www.swiggy.com/bangalore/uday-sweets-5th-block-koramangala
9788,https://www.swiggy.com/bangalore/sri-ganesh-juice-junction-koramangala-koramangala
9789,https://www.swiggy.com/bangalore/tree-of-life-chocolates-koramangala-koramangala
